model,accuracy,precision,recall,f1,tn,fp,fn,tp,threshold,config_idx,hidden_layers,dropout_rate,l2_reg,epochs_trained
TF-IDF Keras MLP,0.45454545454545453,0.0,0.0,0.0,20,2,22,0,0.5500000000000002,4,"[64, 32]",0.4,0.001,12
TF-IDF Keras MLP,0.4772727272727273,0.0,0.0,0.0,21,1,22,0,0.6000000000000002,4,"[64, 32]",0.4,0.001,12
TF-IDF Keras MLP,0.4772727272727273,0.0,0.0,0.0,21,1,22,0,0.6500000000000001,4,"[64, 32]",0.4,0.001,12
TF-IDF Keras MLP,0.4772727272727273,0.0,0.0,0.0,21,1,22,0,0.7000000000000002,4,"[64, 32]",0.4,0.001,12
TF-IDF Keras MLP,0.45454545454545453,0.0,0.0,0.0,20,2,22,0,0.7500000000000002,3,[32],0.3,0.001,21
TF-IDF Keras MLP,0.4772727272727273,0.0,0.0,0.0,21,1,22,0,0.9000000000000002,3,[32],0.3,0.001,21
TF-IDF Keras MLP,0.45454545454545453,0.0,0.0,0.0,20,2,22,0,0.8000000000000002,3,[32],0.3,0.001,21
TF-IDF Keras MLP,0.4090909090909091,0.0,0.0,0.0,18,4,22,0,0.7000000000000002,3,[32],0.3,0.001,21
TF-IDF Keras MLP,0.45454545454545453,0.0,0.0,0.0,20,2,22,0,0.8500000000000002,3,[32],0.3,0.001,21
TF-IDF Keras MLP,0.45454545454545453,0.0,0.0,0.0,20,2,22,0,0.7500000000000002,2,[64],0.5,0.001,15
TF-IDF Keras MLP,0.45454545454545453,0.0,0.0,0.0,20,2,22,0,0.8500000000000002,2,[64],0.5,0.001,15
TF-IDF Keras MLP,0.5,0.0,0.0,0.0,22,0,22,0,0.9000000000000002,2,[64],0.5,0.001,15
TF-IDF Keras MLP,0.4772727272727273,0.0,0.0,0.0,21,1,22,0,0.9000000000000002,1,[32],0.5,0.001,14
TF-IDF Keras MLP,0.4772727272727273,0.0,0.0,0.0,21,1,22,0,0.7500000000000002,1,[32],0.5,0.001,14
TF-IDF Keras MLP,0.45454545454545453,0.0,0.0,0.0,20,2,22,0,0.7000000000000002,2,[64],0.5,0.001,15
TF-IDF Keras MLP,0.4318181818181818,0.0,0.0,0.0,19,3,22,0,0.6500000000000001,2,[64],0.5,0.001,15
TF-IDF Keras MLP,0.45454545454545453,0.0,0.0,0.0,20,2,22,0,0.8000000000000002,2,[64],0.5,0.001,15
TF-IDF Keras MLP,0.4772727272727273,0.0,0.0,0.0,21,1,22,0,0.7000000000000002,1,[32],0.5,0.001,14
TF-IDF Keras MLP,0.4772727272727273,0.0,0.0,0.0,21,1,22,0,0.8500000000000002,5,"[128, 64]",0.5,0.001,36
TF-IDF Keras MLP,0.4772727272727273,0.0,0.0,0.0,21,1,22,0,0.9000000000000002,5,"[128, 64]",0.5,0.001,36
